工单ID,质检结果,质检备注,问题分类,对话内容
115884368906158080,合格,,游戏问题-战斗及角色/怪物表现-战斗外,"2024-09-20 13:54:20 [玩家] ***:
    
    問題詳細: 画像の遺物は速度差が""2""なのですが、装備すると速度が""3""変化します。不具合でしょうか？
    画像アップロード（最大アップロード数は5枚、10MB以下）: 
        <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/09/20/0/******df81e043ff******_******.png"" style=""max-height: 150px;"" ></img> <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/09/20/0/712fff53c7ac5ab6d4a4a14e5183b2ce_******.png"" style=""max-height: 150px;"" ></img> <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/09/20/0/ca5306b45fddcd3edf9232a76fe7a679_******.png"" style=""max-height: 150px;"" ></img>
    動画アップロード （最大アップロード数は10本、各動画のサイズは200MB以下、.mp4、 .webm、 .ogg、.movのみサポート）: 
    Email: ***@***.***

2024-09-20 15:04:28 [客服] ***:
    親愛なる開拓者様
    この度は「崩壊：スターレイル」へのお問い合わせ、誠にありがとうございます。
    お問い合わせの件に関しまして、ご報告いただき誠にありがとうございます。
    ご申告事象の確認の結果、再現性を確認し、問題がございました際には修正を進めてまいりたく存じます。
    なお、仕様によるものの場合、現状のままとなりますことご了承いただきますようお願いいたします。
    また攻略情報に繋がることがございますため、仕様面についてはご質問にお答えいたしかねてしまうケースもございますこと、
    何卒ご了承いただけますと幸いです。
    この度は、ご連絡をいただきましたこと心よりお礼申し上げます。
    開拓者様がより楽しめるゲームとなるよう努めてまいる所存です。
    引き続き「崩壊：スターレイル」をご愛顧いただきますよう
    よろしくお願いいたします。
    Regards,
    カスタマーサポート担当
    ※本メールの内容の無断掲載、無断複製、転送は禁止させていただいております。ご注意ください。

"
115882666421387264,合格,,账号问题-【JP】改生日-改通行证生日处理,"2024-09-20 06:51:31 [玩家] ***:
    
    問題詳細: 1,
2004年3月9日。

2.
2023年5月10日くらい。

3.
課金履歴無し。

4.
注意事項に同意。
    画像アップロード（最大アップロード数は5枚、10MB以下）: 
    動画アップロード （最大アップロード数は10本、各動画のサイズは200MB以下、.mp4、 .webm、 .ogg、.movのみサポート）: 
    Email: 

2024-09-20 12:19:01 [客服] ***:
    親愛なる開拓者様
    この度は「崩壊：スターレイル」へのお問い合わせ、誠にありがとうございます。
    お問い合わせの件につきまして、オーダー番号【******】にて返信していることを確認いたしました。
    オーダー番号【******】の内容に関しましては、以下になります。
    お問い合わせの件に関しまして、ご依頼いただいた点の対応が完了いたしました。
    正常に生年月日の変更が処理されましたため、お手すきの際にご確認いただけますと幸いです。
    なお、追加でのご質問やご連絡がございましたら、お手を煩わせてしまい恐縮ではございますが、
    迅速な対応のため新規であらためてお問い合わせいただけますようお願い申し上げます。
    引き続き「崩壊：スターレイル」をご愛顧いただきますよう
    よろしくお願いいたします。
    Regards,
    カスタマーサポート担当
    ※本メールの内容の無断掲載、無断複製、転送は禁止させていただいております。ご注意ください。

"
115879966564679680,合格,,活动问题-游戏内版本活动-游戏内版本活动,"2024-09-19 19:41:00 [玩家] ***:
    
    問題詳細: 報酬を全て受け取っているのに旅記録に通知が来続ける

問題の発生日時
2024/09/10辺りから

・問題発生時の詳細な状況について
アプリを起動し旅記録で通知を消したあと、再度ログインすると表示される
・OS:iPhone15 IOS17.6.1
    画像アップロード（最大アップロード数は5枚、10MB以下）: 
        <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/09/19/0/f670a413faeec53c2008be52d211dafe_******.png"" style=""max-height: 150px;"" ></img> <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/09/19/0/e18a09dddea0006b0d86b31d5c4f458f_******.png"" style=""max-height: 150px;"" ></img> <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/09/19/0/6a8094e80ce96cb77bfed977b152d5e2_******.png"" style=""max-height: 150px;"" ></img>
    動画アップロード （最大アップロード数は10本、各動画のサイズは200MB以下、.mp4、 .webm、 .ogg、.movのみサポート）: 
    Email: 

2024-09-20 11:01:41 [客服] ***:
    親愛なる開拓者様
    この度は「崩壊：スターレイル」へのお問い合わせ、誠にありがとうございます。
    お問い合わせの件に関しまして、ご報告いただき誠にありがとうございます。
    ご申告事象の確認の結果、再現性を確認し、問題がございました際には修正を進めてまいりたく存じます。
    なお、仕様によるものの場合、現状のままとなりますことご了承いただきますようお願いいたします。
    また攻略情報に繋がることがございますため、仕様面についてはご質問にお答えいたしかねてしまうケースもございますこと、
    何卒ご了承いただけますと幸いです。
    この度は、ご連絡をいただきましたこと心よりお礼申し上げます。
    開拓者様がより楽しめるゲームとなるよう努めてまいる所存です。
    引き続き「崩壊：スターレイル」をご愛顧いただきますよう
    よろしくお願いいたします。
    Regards,
    カスタマーサポート担当
    ※本メールの内容の無断掲載、無断複製、転送は禁止させていただいております。ご注意ください。

"
115879264069091328,合格,,游戏问题-游戏内本地化相关-文本翻译问题,"2024-09-19 16:46:32 [玩家] ***:
    
    問題詳細: 赤い四角で囲った部分の「引くのにみたいだ」というのは日本語として文章がおかしい。
この文脈だと「引いたみたいだ」とか「引くのに○○（「役立った」とか）みたいだ」というのが正しいはず。
    画像アップロード（最大アップロード数は5枚、10MB以下）: 
        <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/09/19/0/86bcae76f308f326e072a******eba9f_******.png"" style=""max-height: 150px;"" ></img>
    動画アップロード （最大アップロード数は10本、各動画のサイズは200MB以下、.mp4、 .webm、 .ogg、.movのみサポート）: 
    Email: 

2024-09-20 09:14:59 [客服] ***:
    親愛なる開拓者様
    この度は「崩壊：スターレイル」へのお問い合わせ、誠にありがとうございます。
    お問い合わせの件につきまして、お寄せいただいた情報をもとに確認を進めてまいります。
    不備や不具合などにて開拓者様のお手を煩わせてしまわないよう、
    より一層の注意を払って運営をいたしてまいります。
    本件に関してのご報告いただきましたこと心よりお礼申し上げます。
    引き続き「崩壊：スターレイル」をご愛顧いただきますよう
    よろしくお願いいたします。
    Regards,
    カスタマーサポート担当
    ※本メールの内容の無断掲載、無断複製、転送は禁止させていただいております。ご注意ください。

"
115878932752433152,合格,2024-09-20 10:44:23,账号问题-其他-其他,"2024-09-19 15:24:15 [玩家] ***:
    
    問題詳細: はじめまして、こんにちは。
この様なメールを作成するのは初めてなので、
文脈がおかしい部分があると思いますがご了承
お願いします。

2024年9月19日に4日、5日ぶりにApple idでログインしたところ、ゲームがはじめからになりました。Apple idしかアカウントを作成していないので間違いないとは思います。
可能であればアカウントの復旧を希望します。
リリースから遊んでいたゲームなので思い入れがあり、課金していて、完凸キャラも何人かいますのでお手数ですがお願いします。

名前　メデス
ランク　最大
課金時の領収書画像に添付しました、
個人情報になりますので取り扱いに注意してください。
必要なデータがあれば下記のメールアドレスに
ご連絡下さい、よろしくお願いします。
    画像アップロード（最大アップロード数は5枚、10MB以下）: 
        <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/09/19/0/cb7ef******cfd99e9c2414f******_******.png"" style=""max-height: 150px;"" ></img>
    動画アップロード （最大アップロード数は10本、各動画のサイズは200MB以下、.mp4、 .webm、 .ogg、.movのみサポート）: 
    Email: ***@***.***

2024-09-19 15:31:42 [客服] ***:
    親愛なる開拓者様
    この度は「崩壊：スターレイル」へのお問い合わせ、誠にありがとうございます。
    お問い合わせいただきました件につきまして、 アカウントの状況を確認いたしたく存じます。 
    大変お手数ではございますが、下記項目をお書き添えの上、再度ご連絡いただけますでしょうか。
    ・HoYoverse通行証ID（不明の場合はゲーム内のUID）
    ※問題を特定するための必要情報なため、必ずご記載ください
    ・HoYoverse通行証のユーザー名
    ・HoYoverse通行証のメールアドレス
    ・最終ログイン日時
    ・問題の発生日時
    お手を煩わせ恐縮ではございますが、ご確認いただきますようお願い申し上げます。
    引き続き「崩壊：スターレイル」をご愛顧いただきますよう
    よろしくお願いいたします。
    Regards,
    カスタマーサポート担当
    ※本メールの内容の無断掲載、無断複製、転送は禁止させていただいております。ご注意ください。

2024-09-19 15:44:21 [玩家] ***:
    ・HoYoverse通行証ID  不明
    ・HoYoverse通行証のユーザー名　謙太郎　
    ・HoYoverse通行証のメールアドレス　不明
    ・最終ログイン日時　9月15日くらい
    ・問題の発生日時　9月19日

2024-09-19 16:02:39 [客服] ***:
    親愛なる開拓者様
    この度は「崩壊：スターレイル」へのお問い合わせ、誠にありがとうございます。
    お問い合わせの件につきまして、大変恐縮ではございますが、
    ゲームにアクセスしてアカウントUIDを確認できない場合は、
    アカウントUIDを含むスクリーンショットやメッセージを残していないかご確認いただけますでしょうか。
    または、ゲーム内フレンド等に確認をご依頼ください。
    なおPC版でプレイされていた場合、REGEDITを使用して以下のように自分のUIDを確認することができます。
    1. Windows+Rを押し、ポップアップウィンドウにRegeditと入力し、OKをクリックするとソフトが起動します。
    2. 開いたウィンドウで、以下のフォルダを探してください。
    \HKEY_CURRENT_USER\Software\Cognosphere\StarRail
    3. 右側のリストの最後に、USD_から始まる数字があります。USD_の後の数字の組み合わせが、お客様のゲームアカウントUIDです。
    お手数をおかけいたしますが、上記についてご確認くださいますようお願いいたします。
    引き続き「崩壊：スターレイル」をご愛顧いただきますよう
    よろしくお願いいたします。
    Regards,
    カスタマーサポート担当
    ※本メールの内容の無断掲載、無断複製、転送は禁止させていただいております。ご注意ください。

2024-09-19 18:09:18 [玩家] ***:
    申し訳ございません。
    スクリーンショットなどは撮影してないです。

2024-09-20 09:19:22 [客服] ***:
    親愛なる開拓者様
    この度は「崩壊：スターレイル」へのお問い合わせ、誠にありがとうございます。
    開拓者様より承りましたお問い合わせを確認します。
    確認の結果、開拓者様には改めてご案内しますので、
    お急ぎの所、恐れ入りますが今しばらくお待ちくださいますようお願い申し上げます。
    なお、調査が必要な内容などは、お時間がかかる場合がございます。
    その際はあらかじめご了承くださいませ。
    引き続き「崩壊：スターレイル」をご愛顧いただきますよう
    よろしくお願いいたします。
    Regards,
    カスタマーサポート担当
    ※本メールの内容の無断掲載、無断複製、転送は禁止させていただいております。ご注意ください。

2024-09-20 10:44:23 [客服] ***:
    親愛なる開拓者様
    この度は「崩壊：スターレイル」へのお問い合わせ、誠にありがとうございます。
    お問い合わせの件に関しまして、いただいた情報をもとに確認をいたしましたところ
    「崩壊：スターレイル」のアカウントが判明いたしましたため、お伝えいたします。
    UID：******
    また、該当するアカウントに紐づけられているメールアドレスが判明いたしました。
    メールアドレス：na*******@***.***
    お手数をおかけいたしますが、ゲームのログイン画面にて、Appleのアイコンは押下せず、
    お心当たりのあるメールアドレスとパスワードにてログインが可能となっているかご確認いただけますと幸いです。
    なお、パスワードをお忘れの場合は、下記ページにアクセスいただき、
    上記メールアドレスにてパスワードの再発行を行っていただけますでしょうか
    ■https://account.hoyoverse.com/passport/index.html#/login
    （リンク先：HoYoverse通行証Webページ）
    ※「ログイン」→「お困りですか？」→「パスワードをお忘れですか?」よりパスワードの再設定を行ってください
    お伝えいたしましたメールアドレスに見覚えがない
    または上記をお試しいただくもログインが困難等の場合につきましては、
    対応いたしますため再度ご連絡いただけますと幸いです。
    引き続き「崩壊：スターレイル」をご愛顧いただきますよう
    よろしくお願いいたします。
    Regards,
    カスタマーサポート担当
    ※本メールの内容の無断掲載、無断複製、転送は禁止させていただいております。ご注意ください。

2024-09-20 15:35:30 [玩家] ***:
    無事、元のアカウントに戻る事ができました。
    お忙しい中、ご対応いただきありがとうございます。

2024-09-20 15:44:14 [客服] ***:
    親愛なる開拓者様
    この度は「崩壊：スターレイル」へのお問い合わせ、誠にありがとうございます。
    お問い合わせいただいた件につきまして、ご解決済みの旨ご連絡いただきありがとうございます。
    今後もご不明な点がございましたら、お気軽にお問い合わせください。
    また、もしよろしければ今回のサポートについて評価（1～5点）をお願いいたします。
    お寄せいただいた評価は、私ども「崩壊：スターレイル」スタッフ一同の励みとなるだけでなく、
    今後のサポート向上のためにも役立ててまいります。
    何卒、ご協力いただけますと幸いです。
    なお、追加でのご質問やご連絡がございましたら、お手を煩わせてしまい恐縮ではございますが、
    迅速な対応のため新規であらためてお問い合わせいただけますようお願い申し上げます。 
    引き続き「崩壊：スターレイル」をご愛顧いただきますよう
    よろしくお願いいたします。
    Regards,
    カスタマーサポート担当
    ※本メールの内容の無断掲載、無断複製、転送は禁止させていただいております。ご注意ください。

"
115878887520993280,合格,2024-09-19 15:29:17,账号问题-【JP】改生日-改通行证生日处理,"2024-09-19 15:13:02 [玩家] ***:
    
    問題詳細: 年齢(生年月日)を変更したい
    画像アップロード（最大アップロード数は5枚、10MB以下）: 
    動画アップロード （最大アップロード数は10本、各動画のサイズは200MB以下、.mp4、 .webm、 .ogg、.movのみサポート）: 
    Email: 

2024-09-19 15:29:17 [客服] ***:
    親愛なる開拓者様
    この度は「崩壊：スターレイル」へのお問い合わせ、誠にありがとうございます。
    お問い合わせの件につきまして、
    設定されたHoYoverse通行証の生年月日に誤りがございます場合、
    こちらで対応いたします。
    ※ゲーム内プロフィール誕生日は仕様上変更をいたしかねます。
    また、本対応はご本人様確認などの後に変更手続きをいたしますため、
    お手数ではございますが、以下4項目について再度ご連絡いただけますでしょうか。
    1. 正しい生年月日
    　※年月日をすべてご記載ください
    2.「崩壊：スターレイル」のプレイを開始した日
    　※おおよそで問題ございません
    3. 「崩壊：スターレイル」の有償アイテムの購入履歴(スクリーンショット)を添付ください
    　(AppleまたはGoogle Play､クレジットカードのWeb明細などで発行された「崩壊：スターレイル」の購入履歴)
    　※「購入日時」「取引ID」「購入内容」が1枚で確認できるよう添付ください。
    　※ゲーム内にて確認できる「通貨記録」のスクリーンショットではございませんのでご注意ください。
    　※ご住所や氏名などの情報はマスキングしていただいて問題ございません。
    　　マスキングを行う際は必要情報が隠れてしまわないようにご注意ください。
    4. 下記注意事項に同意される際は『注意事項に同意』と本文にご記載ください
    　※同意の確認が取れない場合は変更をいたしかねます
    ====
    【注意事項】
    生年月日に誤りがなく変更申告を行った場合、当環境下において
    以下「崩壊：スターレイル」の利用規約に抵触する可能性もご留意いただきますようお願いいたします。
    ※HoYoverse通行証の生年月日の変更対応は1回のみとなります。
    ■崩壊：スターレイル利用規約　第9条　禁止事項
    2)  虚偽の情報によって、本サービスへの登録手続を行う行為。
    ====
    引き続き「崩壊：スターレイル」をご愛顧いただきますよう
    よろしくお願いいたします。
    Regards,
    カスタマーサポート担当
    ※本メールの内容の無断掲載、無断複製、転送は禁止させていただいております。ご注意ください。

2024-09-19 19:24:46 [玩家] ***:
    1,
    2004年3月9日。
    2.
    2023年5月10日くらい。
    3.
    課金履歴無し。
    4.
    注意事項に同意。

2024-09-20 08:57:59 [客服] ***:
    親愛なる開拓者様
    この度は「崩壊：スターレイル」へのお問い合わせ、誠にありがとうございます。
    お問い合わせの件に関しまして、ご依頼いただいた点の対応が完了いたしました。
    正常に生年月日の変更が処理されましたため、お手すきの際にご確認いただけますと幸いです。
    また、もしよろしければ今回のサポートについて評価（1～5点）をお願いいたします。
    お寄せいただいた評価は、私ども「崩壊：スターレイル」スタッフ一同の励みとなるだけでなく、
    今後のサポート向上のためにも役立ててまいります。
    何卒、ご協力いただけますと幸いです。
    なお、追加でのご質問やご連絡がございましたら、お手を煩わせてしまい恐縮ではございますが、
    迅速な対応のため新規であらためてお問い合わせいただけますようお願い申し上げます。
    引き続き「崩壊：スターレイル」をご愛顧いただきますよう
    よろしくお願いいたします。
    Regards,
    カスタマーサポート担当
    ※本メールの内容の無断掲載、無断複製、転送は禁止させていただいております。ご注意ください。

"
115878204688302080,合格,,游戏问题-系统-漫游签证/好友/支援,"2024-09-19 12:23:26 [玩家] ***:
    
    問題詳細: 巡星ビザから新しく見られるようになった「戦績」が正しく反映されていません。
「黄金と機械」の解放進捗が28→0の表記になっています。
正しくは28/28になるはずです。
修正をお願いいたします。
    画像アップロード（最大アップロード数は5枚、10MB以下）: 
        <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/09/19/0/47c0ce******b******b4d9e9ecfcedbf8_******.png"" style=""max-height: 150px;"" ></img> <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/09/19/0/325acd1d7b73b28a1b4e4555f2fcbfb4_******.png"" style=""max-height: 150px;"" ></img> <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/09/19/0/eeaf6ad365bb9dd07bff4d817bd5995b_******.png"" style=""max-height: 150px;"" ></img>
    動画アップロード （最大アップロード数は10本、各動画のサイズは200MB以下、.mp4、 .webm、 .ogg、.movのみサポート）: 
    Email: 

2024-09-19 14:34:22 [客服] ***:
    親愛なる開拓者様
    この度は「崩壊：スターレイル」へのお問い合わせ、誠にありがとうございます。
    他チケット番号「******」にて、
    既にご返信させていただきました内容と重複するご案内となり、大変恐縮ではございますが、
    お問い合わせの件に関しまして、ご不便をお掛けし申し訳ございません。
    当該箇所について、今後の修正個所として対応を進めてまいります。
    この度は、ご連絡をいただきましたこと心よりお礼申し上げます。
    開拓者様がより楽しめるゲームとなるよう努めてまいる所存です。
    引き続き「崩壊：スターレイル」をご愛顧いただきますよう
    よろしくお願いいたします。
    Regards,
    カスタマーサポート担当
    ※本メールの内容の無断掲載、無断複製、転送は禁止させていただいております。ご注意ください。

"
115873975420583936,合格,,账号问题-【JP】改生日-改通行证生日处理,"2024-09-18 18:53:05 [玩家] ***:
    
    問題詳細: 生年月日変更のお願いについてです

正しい生年月日→2000年9月22日

プレイを開始した日→2024年2月頃

注意事項に同意します
    画像アップロード（最大アップロード数は5枚、10MB以下）: 
        <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/09/18/0/edb638dc8eb907d8cdc******c89c4fb5_******.jpg"" style=""max-height: 150px;"" ></img>
    動画アップロード （最大アップロード数は10本、各動画のサイズは200MB以下、.mp4、 .webm、 .ogg、.movのみサポート）: 
    Email: ***@***.***

2024-09-19 14:28:43 [客服] ***:
    親愛なる開拓者様
    この度は「崩壊：スターレイル」へのお問い合わせ、誠にありがとうございます。
    他チケット番号「******」にて、
    既にご返信させていただきました内容と重複するご案内となり、大変恐縮ではございますが、
    お問い合わせの件に関しまして、ご依頼いただいた点の対応が完了いたしました。
    正常に生年月日の変更が処理されましたため、お手すきの際にご確認いただけますと幸いです。
    引き続き「崩壊：スターレイル」をご愛顧いただきますよう
    よろしくお願いいたします。
    Regards,
    カスタマーサポート担当
    ※本メールの内容の無断掲載、無断複製、転送は禁止させていただいております。ご注意ください。

"
115873627394080768,合格,,游戏问题-游戏内本地化相关-文本显示不全、文本重叠、字体异常,"2024-09-18 17:26:39 [玩家] ***:
    
    問題詳細: 09/18　18：20頃

こそこそしている機巧鳥との最初の会話イベント

画像の場面の2行目「がる冥差」は誤字ではないか。
    画像アップロード（最大アップロード数は5枚、10MB以下）: 
        <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/09/18/0/7383dcff27e4008d5c1c00bd55d5f845_******.png"" style=""max-height: 150px;"" ></img>
    動画アップロード （最大アップロード数は10本、各動画のサイズは200MB以下、.mp4、 .webm、 .ogg、.movのみサポート）: 
    Email: 

2024-09-19 13:44:56 [客服] ***:
    親愛なる開拓者様
    この度は「崩壊：スターレイル」へのお問い合わせ、誠にありがとうございます。
    お問い合わせの件につきまして、お寄せいただいた情報をもとに確認を進めてまいります。
    不備や不具合などにて開拓者様のお手を煩わせてしまわないよう、
    より一層の注意を払って運営をいたしてまいります。
    本件に関してのご報告いただきましたこと心よりお礼申し上げます。
    引き続き「崩壊：スターレイル」をご愛顧いただきますよう
    よろしくお願いいたします。
    Regards,
    カスタマーサポート担当
    ※本メールの内容の無断掲載、無断複製、転送は禁止させていただいております。ご注意ください。

"
115873542769737728,合格,2024-09-18 17:37:27,游戏问题-系统-模拟宇宙,"2024-09-18 17:05:38 [玩家] ***:
    
    問題詳細: 階差宇宙の適合レベルと定常アレイについて
前回の更新前の適合レベルと定常アレイの未達成のものを達成したり、更新前にクリアしたものは受け取りを行っても問題ないでしょうか？

受け取りボタン表示や前回のミッション(だと思います)のミッション表示が出ているということは、多分期限のない常設だと推測しています。

例えば現在76日13日と4枚のスクリーンショットの内容になるのですが、
階差宇宙の定常アレイや適合レベルのミッションや適合レベル報酬は、期限内に達成しないと受け取れないので、急いでやらないといけない。
という内容も外部の内容になりますが見たことがあります。
ただ先にも述べたようにスクリーンショットのように未クリア含めて表示されているイコール常設だとは思うのですが...。

念のため運営さまに返答を頂いた後に、受け取り可能でしたら受け取りをしよう、と思っております。
階差宇宙の現在獲得できる達成アイテムや、これから獲得できる(と思われる)前回の更新前のミッションを達成したときに獲得できる達成アイテムは受け取りをしても問題はないでしょうか？
もし差し支えがなければ、お教えていただけると
幸いでございます。
    画像アップロード（最大アップロード数は5枚、10MB以下）: 
        <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/09/18/0/28cedebf36a02a75ba4d095b8c18b8a4_******.png"" style=""max-height: 150px;"" ></img> <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/09/18/0/ad69b******f862e9abea010c89fcb9b_******.png"" style=""max-height: 150px;"" ></img> <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/09/18/0/323b832dec81f1dc7a19a45b9a5dcc4f_******.png"" style=""max-height: 150px;"" ></img> <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/09/18/0/bc235f8edea9473ff3e3b9c3fec******_******.png"" style=""max-height: 150px;"" ></img>
    動画アップロード （最大アップロード数は10本、各動画のサイズは200MB以下、.mp4、 .webm、 .ogg、.movのみサポート）: 
    Email: 

2024-09-18 17:37:27 [客服] ***:
    親愛なる開拓者様
    この度は「崩壊：スターレイル」へのお問い合わせ、誠にありがとうございます。
    お問い合わせの件に関しまして、現在表示されているミッションを進めていただいたり、
    「受取」ボタンが表示されている報酬をお受け取りいただくことにつきましては、
    問題ございませんのでご安心くださいますと幸いです。
    なお、恐れ入りますが、アプリ内および公式HP・X(旧:Twitter)にて記載されていない情報や今後の予定などについては個別にご案内いたしかねますため、
    外部サイトでご覧いただいた情報の正誤についての回答はできかねてしまいます。
    心苦しい限りではございますが、何卒ご了承くださいますようお願い申し上げます。
    引き続き「崩壊：スターレイル」をご愛顧いただきますよう
    よろしくお願いいたします。
    Regards,
    カスタマーサポート担当
    ※本メールの内容の無断掲載、無断複製、転送は禁止させていただいております。ご注意ください。

2024-09-18 21:42:52 [玩家] ***:
    返答をありがとうございました。
    わかりやすく教えていただき誠にありがとうございます。おかげさまで安心をして進めたり受け取ることができます。
    今更になり恐縮なのですが、階差宇宙のキャラマッピング機能(名前が違っていたらすみません)が、使ってみたいけれど育成が出来ていないキャラを使うことができ大変助かっています。
    また外部で得た情報について、疑問点で調べ得たた情報とはいえ、正誤不明な解答への問いを
    お尋ねをしてしまったこと、お手数おかけしました。
    この度は迅速なご対応ありがとうございます。
    おかげさまで解決に至ることが出来ました。

2024-09-19 10:52:00 [客服] ***:
    親愛なる開拓者様
    この度は「崩壊：スターレイル」へのお問い合わせ、誠にありがとうございます。
    ご丁寧にご連絡をくださいまして、ありがとうございます。
    また、マッピング機能に対するお言葉、大変嬉しく存じます。
    開拓者様にご満足いただけるアプリとなるようスタッフ一同努めてまいります。
    またご不明な点などございましたら、お気軽にご連絡くださいますと幸いです。 
    引き続き「崩壊：スターレイル」をご愛顧いただきますよう
    よろしくお願いいたします。
    Regards,
    カスタマーサポート担当
    ※本メールの内容の無断掲載、無断複製、転送は禁止させていただいております。ご注意ください。

"
