工单ID,质检结果,质检备注,问题分类,对话内容
115727939148840960,合格,,游戏问题-游戏内本地化相关-文本翻译问题,"2024-08-24 14:24:36 [玩家] ***:
    
    問題詳細: 花火入手後のメッセージに誤字があります
    画像アップロード（最大アップロード数は5枚、10MB以下）: 
        <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/08/24/0/8972f9453ed12c807fcea4d80f4a2c94_******.png"" style=""max-height: 150px;"" ></img>
    動画アップロード （最大アップロード数は10本、各動画のサイズは200MB以下、.mp4、 .webm、 .ogg、.movのみサポート）: 
    Email: 

2024-08-24 15:03:34 [客服] ***:
    親愛なる開拓者様
    この度は「崩壊：スターレイル」へのお問い合わせ、誠にありがとうございます。
    お問い合わせの件につきまして、お寄せいただいた情報をもとに確認を進めてまいります。
    不備や不具合などにて開拓者様のお手を煩わせてしまわないよう、
    より一層の注意を払って運営をいたしてまいります。
    本件に関してのご報告いただきましたこと心よりお礼申し上げます。
    引き続き「崩壊：スターレイル」をご愛顧いただきますよう
    よろしくお願いいたします。
    Regards,
    カスタマーサポート担当
    ※本メールの内容の無断掲載、無断複製、転送は禁止させていただいております。ご注意ください。

"
115723596534120448,合格,,特殊问题-兑换码-兑换码,"2024-08-23 20:26:06 [玩家] ***:
    
    Описание проблемы: Здравствуйте! Решила использовать в игре промокод, но он, почему-то, не работает. На другом аккаунте прошло всё хорошо. В чем может быть проблема?
    Загрузить изображение (Не более 5 изображений размером до 10 МБ): 
        <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/08/23/0/35b5569d7b9c857ec6d4c2446f4ff75a_******.png"" style=""max-height: 150px;"" ></img>
    Загрузить видео (Можно загрузить до 10 видеофайлов, размер каждого файла не должен превышать 200 Мб. Поддерживаемые форматы: .mp4, .webm, .ogg, .mov): 
    Email: 

2024-08-23 20:32:16 [客服] ***:
    Привет, дорогой Первопроходец!ヾ(•ω•`)o
    Пожалуйста, удостоверьтесь, что вы правильно ввели промокодик и что он не содержит лишних символов или пробелов. Если проблемка не решается, отправьте, пожалуйста, следующее:
    1. Видео с вводом промокодика
    2. Ссылочка на ресурсик, где вы получили промокодик
    Заранее спасибо! (p≧w≦q)
    С наилучшими пожеланиями,
    Команда поддержки Honkai: Star Rail

2024-08-23 20:55:35 [玩家] ***:
    Прошу прощение за беспокойство, я перепутала промокоды от игр.

2024-08-23 21:02:08 [客服] ***:
    Вас поняли. Рады, что получилось разобраться! Подскажите, пожалуйста, остались ли у вас какие-то вопросики? (✿◡‿◡)
    С наилучшими пожеланиями,
    Команда поддержки Honkai: Star Rail

2024-08-23 21:14:15 [玩家] ***:
    Нет, не остались.)

2024-08-23 21:14:40 [客服] ***:
    Спасибо за ответик! Если в будущем у вас появятся какие-то вопросики, пожалуйста, не бойтесь вновь написать нам.
    Желаем хорошего денёчка! ♪(^∇^*)
    С наилучшими пожеланиями,
    Команда поддержки Honkai: Star Rail

"
115722845720281088,合格,,游戏问题-系统-其他,"2024-08-23 17:19:37 [玩家] ***:
    
    問題描述: 書架 
符玄致葉爾孤白學士的信
已經完成開拓任務 但符玄目前太卜司 周圍的人也對劃過了還是拿不到這份
請問要如何處理?
PS 之前有跟他說過話但好像沒拿到
    圖片上傳(最多上傳5張圖片，10MB以下): 
    影片上傳 （最多上傳10支影片，每支影片容量不超過200MB，且僅支援mp4、webm、ogg和mov格式的檔案）: 
    聯絡方式: ***@***.***

2024-08-23 18:00:49 [客服] ***:
    親愛的開拓者，您好！ 
    非常抱歉給開拓者帶來了困擾！
    目前符玄人不在仙舟羅浮上。您可以等待後續版本推進劇情後再嘗試獲取該閱讀物喔~ ^_^
    感謝開拓者對於崩壞：星穹鐵道的支持！
    如開拓者有任何其他問題，請繼續與我們保持聯絡。 
    祝您遊戲愉快！
    《崩壞：星穹鐵道》客服團隊

"
115719921384423424,合格,,游戏问题-战斗及角色/怪物表现-战斗内,"2024-08-23 05:13:22 [玩家] ***:
    
    Issue Description: Hello, I wanted to report that in battle when Jiaoqiu the zone from ultimate is active, his skill effect (the explosion) usually doesn't apper.
    Upload image(Upload up to 5 pictures, each less than 10 MB): 
        <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/08/23/0/34fae6d8dce550c0c5b9640e914a1ef6_******.png"" style=""max-height: 150px;"" ></img>
    Upload video (A maximum of 10 videos can be uploaded. The size of each video cannot exceed 200 MB. Supported formats: .mp4, .webm, .ogg, .mov): 
    Contact Email: ***@***.***

2024-08-23 17:08:01 [客服] ***:
    Greetings, Trailblazer! 
    Thank you for contacting us~
    We apologize for the issue you are facing. To provide better assistance, please kindly provide us with a video recording demonstrating the issue and the name of the gameplay of the issue.
    Looking forward to your swift response. Thank you for your support.
    May this journey lead us starward! ☆☆
    Honkai: Star Rail CS Team

2024-08-23 18:00:34 [玩家] ***:
    Hello, sorry for annoying you but today, the issue is no more, so I suppose there's no need for the video anymore, thank you so much!

2024-08-23 18:17:30 [客服] ***:
    Dear Trailblazer,
    We are always here to help you!
    We're always striving to improve our service, so if you have a moment, we'd greatly appreciate it if you could rate your recent support experience us \(★ω★)/ ~
    If you have any other assistance, please feel free to contact us again. Thank you so much for your continued support~
    Honkai: Star Rail CS Team

"
115718619942092800,合格,本来変更後にクローズが必要。また、評価依頼を投げて良い案件,账号问题-【JP】改生日-改通行证生日处理,"2024-08-22 23:50:08 [玩家] ***:
    
    問題詳細: 誤って年齢を設定してしまったので変更したいです。
    画像アップロード（最大アップロード数は5枚、10MB以下）: 
    動画アップロード （最大アップロード数は10本、各動画のサイズは200MB以下、.mp4、 .webm、 .ogg、.movのみサポート）: 
    Email: ***@***.***

2024-08-23 11:14:54 [客服] ***:
    親愛なる開拓者様
    この度は「崩壊：スターレイル」へのお問い合わせ、誠にありがとうございます。
    お問い合わせの件につきまして、
    設定されたHoYoverse通行証の生年月日に誤りがございます場合、
    こちらで対応いたします。
    ※ゲーム内プロフィール誕生日は仕様上変更をいたしかねます。
    また、本対応はご本人様確認などの後に変更手続きをいたしますため、
    お手数ではございますが、以下の項目について再度ご連絡いただけますでしょうか。
    1, 正しい生年月日
    　※年月日をすべてご記載ください
    2,「 崩壊：スターレイル」のプレイを開始した日
    　※おおよそで問題ございません
    3, 「崩壊：スターレイル」の有償アイテムの購入履歴(スクリーンショット)を添付ください
    　(AppleまたはGoogle Play､クレジットカードのWeb明細などで発行された「崩壊：スターレイル」の購入履歴)
    　※「購入日時」「取引ID」「購入内容」が1枚で確認できるよう添付ください。
    　※ゲーム内にて確認できる通貨履歴のスクリーンショットではございませんのでご注意ください。
    　※ご住所や氏名などの情報はマスキングしていただいて問題ございません。
    　　マスキングを行う際は必要情報が隠れてしまわないようにご注意ください。
    4, 下記注意事項に同意される際は『注意事項に同意』と本文にご記載ください
    　※同意の確認が取れない場合は変更をいたしかねます
    ====
    【注意事項】
    生年月日に誤りがなく変更申告を行った場合、当環境下において
    以下「崩壊：スターレイル」の利用規約に抵触する可能性もご留意いただきますようお願いいたします。
    ※HoYoverse通行証の生年月日の変更対応は1回のみとなります。
    ■崩壊：スターレイル利用規約　第9条　禁止事項
    2)  虚偽の情報によって、本サービスへの登録手続を行う行為。
    ====
    引き続き「崩壊：スターレイル」をご愛顧いただきますよう
    よろしくお願いいたします。
    Regards,
    カスタマーサポート担当
    ※本メールの内容の無断掲載、無断複製、転送は禁止させていただいております。ご注意ください。

2024-08-23 16:29:17 [玩家] ***:
    1.2002年10月21日
    2.2024年6月中旬〜下旬頃
    4.同意します
    <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/08/23/0/******d94e4d38ce******a******_******.jpeg"" style=""max-height: 150px;"" ></img> 

2024-08-23 17:29:37 [客服] ***:
    親愛なる開拓者様
    この度は「崩壊：スターレイル」へのお問い合わせ、誠にありがとうございます。
    お問い合わせの件に関しまして、ご依頼いただいた点の対応が完了いたしました。
    正常に生年月日の変更が処理されましたため、お手すきの際にご確認いただけますと幸いです。
    引き続き「崩壊：スターレイル」をご愛顧いただきますよう
    よろしくお願いいたします。
    Regards,
    カスタマーサポート担当
    ※本メールの内容の無断掲載、無断複製、転送は禁止させていただいております。ご注意ください。

2024-08-23 18:42:31 [玩家] ***:
    ご対応いただきまして誠にありがとうございます

2024-08-24 08:59:41 [客服] ***:
    親愛なる開拓者様
    この度は「崩壊：スターレイル」へのお問い合わせ、誠にありがとうございます。
    ご丁寧にご連絡をくださいまして、ありがとうございます。
    またご不明な点などございましたら、お気軽にご連絡くださいますと幸いです。 
    引き続き「崩壊：スターレイル」をご愛顧いただきますよう
    よろしくお願いいたします。
    Regards,
    カスタマーサポート担当
    ※本メールの内容の無断掲載、無断複製、転送は禁止させていただいております。ご注意ください。

"
115716820619362304,合格,2024-08-22 16:40:12,账号问题-其他-其他,"2024-08-22 16:23:16 [玩家] ***:
    
    問題詳細: データ復旧に関する問い合わせです。
リリース日からやっていたデータが突然消えました。ID****** です。
初期はiPhone でしてましたが、途中からipadで遊んでいました。
今月もログインできて普通に遊べていたのですが、8/22にログインしたところデータが初期化？されたのか、以前のデータに入れなくなりました。なので初期化されたデータのほうから問い合わせしています。
直近入手したキャラはジェイド、ブートヒル、ロビンです。去年、刃が初めてピックアップされた時にナナシビトの褒章？課金しています。お気に入りのキャラクターがたくさんいるデータなので、なんとかデータを戻していただきたいです。よろしくお願いします。
    画像アップロード（最大アップロード数は5枚、10MB以下）: 
        <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/08/22/0/ccad0914e6c196b1fa837c7b******_******.png"" style=""max-height: 150px;"" ></img> <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/08/22/0/56dda3b086eecf3426abb******f1ef_******.png"" style=""max-height: 150px;"" ></img> <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/08/22/0/ad0d153eedc41be26e******ea273a_******.png"" style=""max-height: 150px;"" ></img> <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/08/22/0/27a2d9052cb20d7fcb0ef8d3e45ad523_******.png"" style=""max-height: 150px;"" ></img> <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/08/22/0/2f7b538b8f******bd******d34f0ad0b4_******.png"" style=""max-height: 150px;"" ></img>
    動画アップロード （最大アップロード数は10本、各動画のサイズは200MB以下、.mp4、 .webm、 .ogg、.movのみサポート）: 
    Email: 

2024-08-22 16:28:10 [客服] ***:
    親愛なる開拓者様
    この度は「崩壊：スターレイル」へのお問い合わせ、誠にありがとうございます。
    お問い合わせいただきました件につきまして、 アカウントの状況を確認いたしたく存じます。 
    大変お手数ではございますが、可能な限り下記項目をお書き添えの上、再度ご連絡いただけますでしょうか。
    ・HoYoverse通行証のユーザー名
    ・HoYoverse通行証のメールアドレス
    ・HoYoverse通行証と紐付けしたアカウント(Facebook、Twitter、Google、Apple ID、Game Center、PSN)
    ・エラー等の表示がございます場合、スクリーンショットをお寄せください
    ・問題の発生日時
    ・問題発生時のログイン方法
    お手を煩わせ恐縮ではございますが、ご確認いただきますようお願い申し上げます。
    引き続き「崩壊：スターレイル」をご愛顧いただきますよう
    よろしくお願いいたします。
    Regards,
    カスタマーサポート担当
    ※本メールの内容の無断掲載、無断複製、転送は禁止させていただいております。ご注意ください。

2024-08-22 16:28:13 [玩家] ***:
    現在のユーザーネームはポニョにしていました。ステータスメッセージはサンポに関することを入力してました。

2024-08-22 16:37:58 [客服] ***:
    親愛なる開拓者様
    この度は「崩壊：スターレイル」へのお問い合わせ、誠にありがとうございます。
    こちら入れ違いでのご案内となっておりましたため、再送させていただきます。
    お問い合わせいただきました件につきまして、 
    アカウントの状況を確認いたしたく存じます。 
    大変お手数ではございますが、可能な限り下記項目をお書き添えの上、再度ご連絡いただけますでしょうか。
    ・HoYoverse通行証のユーザー名
    ・HoYoverse通行証のメールアドレス
    ・HoYoverse通行証と紐付けしたアカウント(Facebook、Twitter、Google、Apple ID、Game Center、PSN)
    ・エラー等の表示がございます場合、スクリーンショットをお寄せください
    ・問題の発生日時
    ・問題発生時のログイン方法
    お手を煩わせ恐縮ではございますが、ご確認いただきますようお願い申し上げます。
    引き続き「崩壊：スターレイル」をご愛顧いただきますよう
    よろしくお願いいたします。
    Regards,
    カスタマーサポート担当
    ※本メールの内容の無断掲載、無断複製、転送は禁止させていただいております。ご注意ください。

2024-08-22 16:39:15 [玩家] ***:
    今確認したら、自分が違うメールアドレスでログインしてしまったようです。正しいものでログインしたら問い合わせしていたデータのほうにちゃんと入れました。問題解決致しました。
    こちらの確認不足で問い合わせしてしまい、大変申し訳ありませんでした。ありがとうございました。

2024-08-22 16:40:12 [客服] ***:
    親愛なる開拓者様
    この度は「崩壊：スターレイル」へのお問い合わせ、誠にありがとうございます。
    お問い合わせいただいた件につきまして、ご解決済みの旨ご連絡いただきありがとうございます。
    開拓者様のお困りごとが解決されたとのこと、私どもも安心いたしました。
    またご不明な点がございましたら、お気軽にお問い合わせください。
    引き続き「崩壊：スターレイル」をご愛顧いただきますよう
    よろしくお願いいたします。
    Regards,
    カスタマーサポート担当
    ※本メールの内容の無断掲載、無断複製、転送は禁止させていただいております。ご注意ください。

"
115716475545583616,合格,,账号问题-【JP】改生日-改通行证生日处理,"2024-08-22 14:57:34 [玩家] ***:
    
    問題詳細: 生年月日を変更したい
2000／7月16日
始めた日
2023／5月3日
注意事項に同意します
    画像アップロード（最大アップロード数は5枚、10MB以下）: 
        <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/08/22/0/******fdbaff37c3a24ed******_******.png"" style=""max-height: 150px;"" ></img>
    動画アップロード （最大アップロード数は10本、各動画のサイズは200MB以下、.mp4、 .webm、 .ogg、.movのみサポート）: 
    Email: ***@***.***

2024-08-22 15:12:04 [客服] ***:
    親愛なる開拓者様
    この度は「崩壊：スターレイル」へのお問い合わせ、誠にありがとうございます。
    お問い合わせの件に関しまして、ご依頼いただいた点の対応が完了いたしました。
    正常に生年月日の変更が処理されましたため、お手すきの際にご確認いただけますと幸いです。
    引き続き「崩壊：スターレイル」をご愛顧いただきますよう
    よろしくお願いいたします。
    Regards,
    カスタマーサポート担当
    ※本メールの内容の無断掲載、無断複製、転送は禁止させていただいております。ご注意ください。

"
115714040567431168,合格,,充值问题-支付未到账-GP未到账,"2024-08-22 04:52:50 [玩家] ***:
    
    Issue Description: Yeah. My Rail pass updated after the refresh yesterday it seems. But I really did encountered a bug when I bought it as I submitted some screenshots as evidence to prove my claim. It's been fixed now so no need to press further. Thank you for attending in this matter.
    Upload image(Upload up to 5 pictures, each less than 10 MB): 
    Upload video (A maximum of 10 videos can be uploaded. The size of each video cannot exceed 200 MB. Supported formats: .mp4, .webm, .ogg, .mov): 
    Contact Email: ***@***.***

2024-08-22 14:39:39 [客服] ***:
    Dear Trailblazer,
    Thank you for taking the time to update us that the issue has been resolved. If the similar issue occurs again, please try to relogin and click the bundle again without purchasing it and kindly send us the Google Play receipt with visible order number.
    We thank you for your kind support and patience.
    Honkai: Star Rail CS Team

"
115713769850273792,合格,,游戏问题-战斗及角色/怪物表现-战斗外,"2024-08-22 03:45:36 [玩家] ***:
    
    Описание проблемы: Пропала текстура двери в прологе, и не просто пропала, а не даёт при этом пройти.
    Загрузить изображение (Не более 5 изображений размером до 10 МБ): 
        <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/08/22/0/bee9d4e24a3d9b1571c225ca05df8614_******.jpg"" style=""max-height: 150px;"" ></img> <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/08/22/0/5c087d891ba09d******e487d08d423_******.jpg"" style=""max-height: 150px;"" ></img> <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/08/22/0/ec5a6f65df95b2cfc8be27f0cc8956cf_******.jpg"" style=""max-height: 150px;"" ></img> <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/08/22/0/5481e2938c0f9a6339ba3acde8f0046a_******.jpg"" style=""max-height: 150px;"" ></img>
    Загрузить видео (Можно загрузить до 10 видеофайлов, размер каждого файла не должен превышать 200 Мб. Поддерживаемые форматы: .mp4, .webm, .ogg, .mov): 
    Email: 

2024-08-22 15:14:01 [客服] ***:
    Здравствуйте, Первопроходец!
    Благодарим вас за обращение к нам!
    Не могли бы вы предоставить наиболее полную информацию о вашем устройстве? Скажите название установленной ОС, процессора и видеокарты. Уточните, какой объём оперативной памяти имеется на вашем устройстве? Какие настройки графики выбраны сейчас? Обновляли ли вы драйвер видеокарты? Дополнительно можем порекомендовать запустить проверку целостности файлов и установить последнюю версию Microsoft Visual C++. (⌒_⌒;)
    Просим вас ознакомиться с системными требованиями на нашем официальном сайте: https://hsr.hoyoverse.com/ru-ru/news/******
    Если характеристики вашего устройства не соответствуют системным требованиям, то вы можете столкнуться с различными проблемками во время игры. (⁄ ⁄•⁄ω⁄•⁄ ⁄)
    Команда поддержки Honkai: Star Rail

2024-08-22 23:30:35 [玩家] ***:
    Скорее всего это было связанно с тем, что я часто в тот момент скрывал игру (разрешение полноэкранное), так как отвечал на сообщения в браузере. Настройки у меня средние с парочкой изменений и игра идёт хорошо. Решилось всё перезаходом, так что всё в порядке. Просто показалось, что это возможно какой-то баг или типа того, потому что не просто пропала текстура, а игра не позволяла туда пройти, вооот.

2024-08-23 13:21:05 [客服] ***:
    Дорогой Первопроходец,
    Рады, что возникшая проблемка решилась!
    Если у вас появятся дополнительные вопросы, не стесняйтесь обратиться к нам вновь. (⁄ ⁄•⁄ω⁄•⁄ ⁄)
    Благодарим за вашу поддержку и желаем приятной игры! (ﾉ◕ヮ◕)ﾉ*:･ﾟ✧
    Команда поддержки Honkai: Star Rail

"
115713692003991552,合格,,游戏问题-系统-其他,"2024-08-22 03:26:17 [玩家] ***:
    
    問題詳細: ヴェルトに話しかけて色々なことを聞いている時ログを確認すると1番最初の選択肢が2つ並んでいる。他の選択肢は問題ないので1番最初のやつだけ不具合が起きていてどの選択肢を選んでも1番最初に選んだ物が2度表示されている
    画像アップロード（最大アップロード数は5枚、10MB以下）: 
        <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/08/22/0/fa15fdbf62b182af******b757e3abb85_******.png"" style=""max-height: 150px;"" ></img> <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/08/22/0/8e0d******a2316e9a3340db114be2147_******.png"" style=""max-height: 150px;"" ></img> <img src=""https://operation-private.inc-static.hoyoverse.com/csc-user/2024/08/22/0/fa15fdbf62b182af******b757e3abb85_******.png"" style=""max-height: 150px;"" ></img>
    動画アップロード （最大アップロード数は10本、各動画のサイズは200MB以下、.mp4、 .webm、 .ogg、.movのみサポート）: 
    Email: 

2024-08-22 10:59:06 [客服] ***:
    親愛なる開拓者様
    この度は「崩壊：スターレイル」へのお問い合わせ、誠にありがとうございます。
    お問い合わせの件に関しまして、ご報告いただき誠にありがとうございます。
    ご申告事象の確認の結果、再現性を確認し、問題がございました際には修正を進めてまいりたく存じます。
    なお、仕様によるものの場合、現状のままとなりますことご了承いただきますようお願いいたします。
    また攻略情報に繋がることがございますため、仕様面についてはご質問にお答えいたしかねてしまうケースもございますこと、
    何卒ご了承いただけますと幸いです。
    この度は、ご連絡をいただきましたこと心よりお礼申し上げます。
    開拓者様がより楽しめるゲームとなるよう努めてまいる所存です。
    引き続き「崩壊：スターレイル」をご愛顧いただきますよう
    よろしくお願いいたします。
    Regards,
    カスタマーサポート担当
    ※本メールの内容の無断掲載、無断複製、転送は禁止させていただいております。ご注意ください。

"
